link,message,postClickMessage,imageSet,email,Group,Attending,Calendar
IndivisibleNoCo,Come to the IndivisibleNoCo Table and join our newsletter.,Thank you for visiting IndivisibleNoCo. It is easy to get involved with IndivisibleNOCO and take action to protect our democracy. Learn more at https://www.indivisiblenoco.com/about,indnoco,none,IndivisibleNoCo,1,8f1fa3af86bcb9f07d69fa8d5647b3b1c2d8aa07c2d48ae3274f2c4b7b261c8a%40group.calendar.google.com
https://dsafc.org/,Join our chapter and build power for the working class across Northern Colorado. Find our events on our calendar at https://nocodsa.org,Thank you for your interest in DSA Fort Collins. Join DSA at https://act.dsausa.org/donate/membership/,dsa,Johnhramstead@gmail.com,DSA Fort Collins,1,dsafortcollins@gmail.com
https://www.partnersforpeacefc.org/,,Thank you for visiting the Partners for Peace table.  https://www.partnersforpeacefc.org/,p4p,seklein4@gmail.com,Partners for Peace,1,
Indivisible Timnath,Come to the Indivisible Timnath Table and join our newsletter.,Thank you for visiting Indivisible Timnath.,indivisible,bkurth7@gmail.com,Indivisible Timnath,1,
https://www.coloradowins.org,Come visit the COWINS Local 1876 table and learn how you can support the union members who make Colorado run! Visit https://ColoradoWINS.org for more information.,"Thank you for visiting with your State Employees' Union, COWINS Local 1876. Learn more at https://coloradowins.org/",cowins,epiller@cowins.org,COWINS,1,
https://poudreea.org/ ,Visit the Poudre EA booth to talk to local educators about our public schools and learn about our efforts to fully fund our students and build an accessible thriving system for working families in Fort Collins!  Visit https://poudreea.org/ for more information! ,Glad to have you in the movement for public schools and working families. Stay connected and join us this spring to build solidarity and the future our students deserve! Learn more about our funding efforts here: https://coloradoea.org/cut-the-ropes/ ,pea,wendybergman35@gmail.com,Poudre Education Association,1,
https://www.theiriscenter.org/,Visit The Iris Center table. Learn more about our efforts at: https://www.theiriscenter.org/,Thank you for visiting us at The Iris Center. Learn more about our efforts at: https://www.theiriscenter.org/,iris,adubois@theiriscenter.org,The Iris Center,1,
https://nocoprivacy.org,"The Northern Colorado Privacy Coalition is fighting for the peoples’ right to privacy and resists mass-surveillance in Northern Colorado, currently working to increase transparency of Flock Surveillance cameras in Fort Collins. Visit our website https://nocoprivacy.org or booth to find out about our upcoming petition effort! ","Thank you for visiting the Northern Colorado Privacy Coalition table. We fighting for the peoples’ right to privacy and resists mass-surveillance in Northern Colorado, currently working to increase transparency of Flock Surveillance cameras in Fort Collins. Visit our website https://nocoprivacy.org or booth to find out about our upcoming petition effort! ",ncpc,nocoprivacy@proton.me,The NoCo Privacy Coalition,1,
https://couniversalhealth.org,"Larimer County Healthcare Action is a sector of Colorado Foundation for Universal Healthcare working toward simple guaranteed healthcare for all, for life. Learn more at https://couniversalhealth.org","Thank you for visiting, learn more at https://couniversalhealth.org",lcha,ebranjord@yahoo.com,Larimer County Healthcare Action,1,
https://dsafc.solidarity.tech/solidarity-melts-ice,"Stop by NOCO DSA: Immigration Rights table, and learn about the various bills we're trying to pass in Colorado. Find more information at https://dsafc.solidarity.tech/solidarity-melts-ice",Thank you for stopping by the NOCO DSA: Immigration Rights table! Learn more about us at https://dsafc.solidarity.tech/solidarity-melts-ice,dsair,lopsel225@gmail.com,NOCO DSA: Immigration Rights,1,
